star ID,Brightness (suns),Temperature (K)
1.00,132.00,22000.00
2.00,9000.00,3000.00
3.00,0.50,5200.00
4.00,70.00,15000.00
5.00,60000.00,6000.00
6.00,310.00,3100.00
7.00,25.00,14000.00
8.00,8.00,8600.00
9.00,10000.00,7300.00
10.00,3.00,8300.00
11.00,19.00,9800.00
12.00,23.00,9800.00
13.00,0.01,3900.00
14.00,0.01,3900.00
15.00,0.02,4100.00
16.00,0.04,4300.00
17.00,0.01,3500.00
18.00,0.06,4200.00
19.00,0.02,3900.00
20.00,0.08,3600.00
21.00,0.04,3800.00
22.00,0.07,4100.00
23.00,0.09,4200.00
24.00,0.09,4200.00
25.00,1.00,4800.00
26.00,10000.00,40000.00
27.00,480.00,20000.00
28.00,480.00,3200.00
29.00,480.00,3000.00
30.00,0.00,2900.00
31.00,25.00,12000.00
32.00,0.01,3500.00
33.00,0.00,2900.00
34.00,110.00,20000.00
35.00,0.00,3000.00
36.00,0.00,3000.00
37.00,0.00,3100.00
38.00,0.00,3000.00
39.00,0.00,3000.00
40.00,0.16,4200.00
41.00,0.00,3300.00
42.00,0.28,4200.00
43.00,0.00,3200.00
44.00,0.00,3200.00
45.00,0.00,3200.00
46.00,0.00,3000.00
47.00,0.05,4200.00
48.00,0.04,4200.00
49.00,0.60,6100.00
50.00,0.50,5500.00
51.00,0.00,3000.00
52.00,1.60,6200.00
53.00,1.10,5900.00
54.00,0.00,2900.00
55.00,19.00,9200.00
56.00,0.80,5400.00
57.00,0.50,5200.00
58.00,66.00,10000.00
59.00,22.00,9900.00
60.00,0.00,2900.00
61.00,29.00,9400.00
62.00,0.01,3000.00
63.00,0.30,4800.00
64.00,72.00,10400.00
65.00,60.00,9000.00
66.00,0.00,3100.00
67.00,88.00,10400.00
68.00,80.00,9600.00
69.00,0.70,5000.00
70.00,28.00,9700.00
71.00,1.90,5800.00
72.00,2.30,5800.00
73.00,3.00,5900.00
74.00,0.03,3600.00
75.00,0.00,3500.00
76.00,0.00,11100.00
77.00,0.00,3100.00
78.00,0.00,3200.00
79.00,2.00,0.00
80.00,0.00,3000.00
81.00,0.00,3000.00
82.00,1.60,6200.00
83.00,0.00,3000.00
84.00,0.00,2900.00
85.00,300.00,6000.00
86.00,1.00,5900.00
87.00,1.70,6100.00
88.00,0.00,10200.00
89.00,120.00,35000.00
90.00,320.00,3200.00
91.00,1.20,5900.00
92.00,81.00,26000.00
93.00,101.00,38000.00
94.00,0.80,5900.00
95.00,0.09,4100.00
96.00,90.00,22000.00
