Channel,Distance (km),Phase,Arrival Time,Time after quake (s)
ZY.LA00.ELE.,0.1267,S,30:59.1,4
ZY.LA02.EHZ.,0.1792,P,30:57.7,2
ZY.LA02.EHN.,0.1792,S,30:59.8,4
ZY.LA02.EHZ.,0.1792,P,30:57.7,2
ZY.LA02.EHN.,0.1792,S,30:59.8,4
ZY.LA04.EHZ.,0.3512,P,31:02.3,7
ZY.LA04.EHN.,0.3512,S,31:04.5,9
ZY.LA04.EHZ.,0.3512,P,31:02.3,7
ZY.LA04.EHN.,0.3512,S,31:04.5,9
CI.PAS.HLE.,0.31,P,31:07.9,13
CI.PAS.HLN.,0.31,S,31:12.5,17
CI.USC.BHZ.,0.284,P,31:01.9,7
CI.BAR.BHE.,2.184,P,31:30.0,35
CI.BAR.BHN.,2.184,S,32:02.9,68
CI.DGR.BHE.,1.389,P,31:20.7,25
CI.DGR.BHN.,1.389,S,31:38.4,43
CI.GSC.BHE.,1.792,P,31:25.5,30
CI.GSC.BHN.,1.792,S,31:52.0,57
CI.PAS.BHE.,0.31,P,31:02.4,7
CI.PAS.BHN.,0.31,S,31:07.0,12
AZ.PFO.BHE.,,P,31:27.5,32
AZ.PFO.BHN.,,S,31:53.7,58
CI.SBC.BHE.,1.001,P,31:14.8,19
CI.SBC.BHN.,1.001,S,31:27.7,32
CI.SVD.BHE.,1.198,P,31:17.6,22
CI.SVD.BHN.,1.198,S,31:33.4,38
CI.VTV.BHE.,1.057,P,31:15.1,20
CI.VTV.BHN.,1.057,S,31:29.7,34
CI.BAR.HLE.,2.184,P,31:30.4,35
CI.BAR.HLN.,2.184,S,31:56.5,61
CI.PAS.BHE.,0.31,P,31:02.4,7
CI.PAS.BHN.,0.31,S,31:06.9,11
CI.IR2.EHZ.,0.2084,P,31:00.1,5
CI.MWC.EHZ.,0.3968,P,31:03.2,8
CI.PAS.EHZ.,0.31,P,31:01.6,6
CI.TCC.EHZ.,0.4856,P,31:04.9,9
CI.RVR.EHZ.,0.9884,P,31:12.7,17
WR.PEC.EHZ.,,P,31:15.4,20
NC.PSM.EHZ.,2.505,P,31:35.0,40
CI.SNS.EHZ.,1.132,P,31:14.8,19
CI.PLM.EHZ.,1.637,P,31:21.9,27
CI.CIS.EHZ.,0.8118,P,31:09.8,14
CI.IKP.EHZ.,2.559,P,31:35.6,40
CI.TPC.EHZ.,2.066,P,31:28.4,33
CI.VST.EHZ.,1.515,P,31:19.8,24
CI.CLC.EHZ.,1.775,P,31:24.5,29
WR.PYR.EHZ.,,P,31:03.3,8
CI.SSN.EHZ.,1.259,P,31:16.3,21
CI.ISA.EHZ.,1.447,P,31:20.4,25
CI.GSC.EHZ.,1.792,P,31:25.1,30
CI.COY.EHZ.,2.038,P,31:27.6,32
CI.BCH.EHZ.,1.603,P,31:22.4,27
CI.FRG.EHZ.,2.106,P,31:29.0,34
CI.SLC.EHZ.,1.014,P,31:13.3,18
CI.YEG.EHZ.,1.691,P,31:23.6,28
CI.PKM.EHZ.,1.26,P,31:17.3,22
CI.LUC.EHZ.,1.323,P,31:19.0,24
CI.WSC.EHZ.,1.581,P,31:21.9,26
CI.JUL.EHZ.,1.981,P,31:27.3,32
CI.WRC.EHZ.,1.879,P,31:26.2,31
